City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Namatanai,-3.6667,152.4333,86.07,66,91,7.2,PG,2021-04-19 05:29:02
269,Lumphat,13.4878,106.9816,94.71,44,52,2.95,KH,2021-04-19 05:29:03
270,Cockburn Town,21.4612,-71.1419,78.28,88,32,18.57,TC,2021-04-19 05:29:03
271,Qaanaaq,77.484,-69.3632,2.01,75,100,5.12,GL,2021-04-19 05:29:03
272,Serowe,-22.3833,26.7167,51.78,68,0,3.83,BW,2021-04-19 05:29:04
273,Oshikango,-17.4,15.8833,63.21,52,4,7.43,NA,2021-04-19 05:29:04
274,Chernyshevskiy,63.0128,112.4714,21.63,71,68,0.81,RU,2021-04-19 05:29:05
275,San Felipe,10.3399,-68.7425,73.44,90,100,5.77,VE,2021-04-19 05:29:05
276,Krasnoarmeysk,51.0239,45.6969,48.99,47,100,4.0,RU,2021-04-19 05:29:06
277,Turukhansk,65.8167,87.9833,23.09,75,72,12.53,RU,2021-04-19 05:29:06
278,North Bend,43.4065,-124.2243,46.99,93,90,1.61,US,2021-04-19 05:29:06
279,Cooma,-36.2333,149.1333,68.0,34,4,11.5,AU,2021-04-19 05:29:07
280,Nabire,-3.3667,135.4833,83.68,72,91,5.19,ID,2021-04-19 05:29:07
281,Sioux Lookout,50.1001,-91.917,24.8,74,90,8.05,CA,2021-04-19 05:29:08
282,Nara,34.6851,135.8049,68.0,45,20,6.91,JP,2021-04-19 05:29:08
283,Yazd,31.8972,54.3675,71.6,28,75,4.61,IR,2021-04-19 05:29:09
284,Hirara,24.8,125.2833,73.4,56,40,18.41,JP,2021-04-19 05:29:09
285,Santa Cruz,-17.8,-63.1667,69.08,91,7,3.04,BO,2021-04-19 05:29:10
286,Pitimbu,-7.4706,-34.8086,71.6,100,75,3.44,BR,2021-04-19 05:29:10
287,Parainen,60.3067,22.301,44.6,53,0,6.91,FI,2021-04-19 05:29:11
288,Sunrise Manor,36.2111,-115.0731,71.01,11,1,8.05,US,2021-04-19 05:29:11
289,Touros,-5.1989,-35.4608,75.2,94,40,4.61,BR,2021-04-19 05:29:11
290,Jose De Freitas,-4.7564,-42.5756,73.4,94,75,2.3,BR,2021-04-19 05:29:06
291,Atotonilco El Grande,20.2833,-98.6667,53.71,83,50,4.14,MX,2021-04-19 05:29:12
292,Santa Maria,-29.6842,-53.8069,59.54,95,1,7.52,BR,2021-04-19 05:29:12
